country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
Bosnia and Herzegovina,18929698720.1192,0.0,0.0,0.0,92.7,4.9,0.0,0.0,0.0,2.4,0.0009699999999999999
Belarus,59187019676.14,30.0,8.0,2.0,35.0,5.0,12.0,6.0,2.0,0.0,16.0
Belize,1602671549.36449,47.0,8.0,5.0,5.0,16.0,19.0,0.0,0.0,0.0,0.0
Bermuda,0.0,17.0,9.0,6.0,26.0,29.0,13.0,0.0,0.0,0.0,2.0
Bolivia,26758341469.4947,55.196911196911195,2.9034749034749034,2.5019305019305023,22.7027027027027,6.501930501930501,10.193050193050194,0.0,0.0,0.0,12.11
Brazil,2256907026242.19,51.4,2.4,2.9,16.7,13.1,13.5,0.0,0.0,0.0,1.4
Barbados,4637855785.12986,18.3,3.7,4.9,5.7,19.7,17.1,12.1,0.0,18.6,9.0
Brunei Darussalam,13301457674.8771,36.0,3.0,4.0,15.0,18.0,16.0,1.0,1.0,6.0,0.0
Bhutan,2234759341.867,58.0,4.0,1.0,7.0,17.0,13.0,0.0,0.0,0.0,0.86
Botswana,16843294912.9068,8.1,0.0,0.1,91.9,0.0,0.0,0.0,0.0,0.0,1.0
Central African Republic,1496562091.9823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,1828002272029.79,24.0,6.0,13.0,8.0,47.0,3.0,0.0,0.0,0.0,20.590000000000003
Switzerland,642089703646.215,29.0,4.0,3.0,29.0,20.0,15.0,0.0,0.0,0.0,32.0
Channel Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.43020231213873
Chile,267904170064.212,53.3,6.6,2.3,16.0,12.4,9.4,0.0,0.0,0.0,0.37
China,9505156930655.12,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,0.0,0.0
Côte d’Ivoire,36796468786.8278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Cameroon,35051979601.3947,83.4,0.1,0.7,10.4,2.1,3.3,0.0,0.0,0.0,0.4
"Congo, Dem. Rep.",32089998961.1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9
"Congo, Rep.",14205686707.8991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2
Colombia,366456704285.594,59.58,2.35,1.1,15.74,8.4,12.83,0.0,0.0,0.0,17.2
Comoros,611370805.212453,50.0,2.0,4.0,22.0,7.0,5.0,0.0,0.0,10.0,0.0
Cabo Verde,1860165514.9836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,46551438317.2602,58.0,1.0,2.0,7.0,21.0,11.0,0.0,0.0,0.0,1.26
Cuba,0.0,68.9,4.6,1.6,3.0,12.3,9.6,0.0,0.0,0.0,9.49
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cayman Islands,0.0,10.9,3.5,6.2,11.4,31.1,11.0,0.0,7.3,18.6,21.0
Cyprus,24311614954.7601,41.47,2.66,3.25,10.07,25.7,14.77,0.0,2.08,0.0,13.31
Czech Republic,231340463131.439,62.3,2.4,8.4,14.899999999999995,9.1,2.2,0.0,0.7,0.0,25.5
Germany,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,506021862.86935306,45.0,8.0,5.0,14.0,12.0,16.0,0.0,0.0,0.0,0.0
Denmark,347519725465.965,12.78,5.78,6.29,23.86,11.57,1.61,0.0,7.65,30.46,27.27
Dominican Republic,73664129264.5577,51.0,6.0,3.0,10.0,16.0,10.0,0.0,4.0,0.0,8.2
Algeria,196034821993.495,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,0.0,8.0
Ecuador,85056519293.3115,58.67,3.01,1.53,13.78,10.25,11.44,0.45,0.86,0.0,12.9
